Book_Title,Author,User_Ratings,Customers_Rated,Price,Date
"Stocking Stuffers for Men: HR Approved Ways to Tell Coworkers They're Stupid, Funny Christmas Gift for Adults",Unknown Author,5.0,Mind Flair,$7.99,2024-11-25
Cozy Girl Christmas Coloring Book: Bold and Easy Designs for Adults & Teens,Jeanett Veronica,4.5,82,$11.50,2024-11-25
Half Baked Harvest Quick & Cozy: A Cookbook,Tieghan Gerard,4.1,53,$22.00,2024-11-25
The Housemaid's Wedding: A Short Story,Freida McFadden,3.7,"5,294",$5.58,2024-11-25
The Lost Bookshop: The most charming and uplifting novel for 2024 and the perfect gift for book lovers!,Evie Woods,4.3,"110,016",$12.49,2024-11-25
Don't Push the Button! A Christmas Adventure,Bill Cotter,4.7,"1,543",$12.58,2024-11-25
The Berenstain Bears' Night Before Christmas: A Christmas Holiday Book for Kids,Mike Berenstain,4.8,"2,321",$4.99,2024-11-25
Brandon Sanderson,Brandon Sanderson,Unknown rating,Hardcover,$31.79,2024-11-25
Comfy Days: Coloring Book for Adults and Teens Featuring Super Cute Animal Characters in Cozy Hygge Moments for Relaxation,Coco Wyo,4.8,442,$11.12,2024-11-25
The Book of Unusual Knowledge,Publications International Ltd.,4.5,"18,691",$16.00,2024-11-25
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,4.7,"84,385",$15.43,2024-11-25
"Blank Comic Book: Create Your Own Comic Strip, Blank Comic Panels, 135 Pages, Gray (Large, 8.5 x 11 in.)",Arnie Lightning,4.7,"2,149",$10.96,2024-11-25
Bluey: Little Library 4-Book Box Set,Penguin Young Readers Licenses,4.5,390,$11.64,2024-11-25
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.7,"170,237",$20.00,2024-11-25
Verity,Colleen Hoover,4.5,"345,288",$8.00,2024-11-25
"Stocking Stuffers: Password Book: Notebook For Internet Account Safe Keep - Funny Gag Presents For Coworkers Women, Wife, Mom, Adults, Seniors",Unknown Author,4.1,Hotiif UY.,$5.35,2024-11-25
The Wild Robot Escapes (Volume 2),Peter Brown,4.8,"8,163",$5.99,2024-11-25
Throne of Glass Paperback Box Set,Sarah J. Maas,4.6,"47,170",$125.64,2024-11-25
"Stocking Stuffers : How to Draw 600 Cute Stuff: Big Book for Kids, Teens, and Adults – Christmas, Animals, Food, Nature, and More! Perfect for Boys and Girls with Easy Step-by-Step Tutorials",Unknown Author,5.0,LuluART Studio,$12.58,2024-11-25
